"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","16k-Mile 2005 Bentley Continental GT","https://bringatrailer.com/listing/2005-bentley-continental-gt-22/","Bid to $32,000 on 6/29/20","Location: Rapid City, South Dakota 57702","Chassis: SCBCR63W75C024262","16k Indicated Miles","Twin-Turbocharged 6.0-Liter W12","6-Speed Automatic Transmission","All-Wheel Drive","Silver Tempest Paint","Nautic Leather w/Burl Wood Trim","Chrome 19"" Wheels","Electronic Air Suspension","New O2 Sensors & MAF in 2017","Oil Service in September 2019","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","No Reserve: 39-Years-Owned 1971 Alfa Romeo Spider","https://bringatrailer.com/listing/1971-alfa-romeo-spider-14/","Sold for $9,100 on 6/29/20","Location: Heber City, Utah 84032","Chassis: AR1485928","89k Miles Shown, TMU","1,779cc Inline-Four","5-Speed Manual Gearbox","SPICA Fuel Injection","Repainted Red over Black Vinyl","Black Soft Top w/Boot","Roll Bar","Aftermarket Suspension","Recent Spark Plug & Fluid Changes","Service Records","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","One-Family-Owned 1983 Mercedes-Benz 500SL","https://bringatrailer.com/listing/1983-mercedes-benz-500sl-6/","Sold for $39,500 on 6/29/20","Location: Williamsville, New York 14221","Chassis: WDB10704612001963","73k Miles Shown","5.0-Liter V8","Four-Speed Automatic Gearbox","Anthracite Grey Metallic","Removable Color-Matched Hardtop","Black Soft Top","Black Nappa Leather","Single-Family Ownership History","15"" Bundt Wheels","Heated Seats","Automatic Climate Control","Cruise Control","European-Market Headlights","Fog Lights","Timing Chain Replaced in 2014","Air Conditioning Converted to R134a in 2017","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","1"
"","1980 Mazda RX-7 Anniversary Edition 5-Speed","https://bringatrailer.com/listing/1980-mazda-rx-7-17/","Sold for $9,000 on 6/29/20","Location: West Vancouver, British Columbia, Canada","Chassis: SA22C604967","58k Miles Shown","1.1-Liter Rotary Engine","Five-Speed Manual Gearbox","Renaissance Red","Tri-Tone Cloth Seats","10th Anniversary Edition","Removable Sunroof Panel","13"" Aluminum Wheels","AM/FM Stereo","Jensen CD Changer","Factory Literature","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","No Reserve: 37k-Mile 2000 Porsche 911 Carrera Coupe 6-Speed","https://bringatrailer.com/listing/2000-porsche-911-carrera-97/","Sold for $31,000 on 6/29/20","Location: Miami, Florida 33186","Chassis: WP0AA2992YS620542","37k Miles","3.4 Liter Flat-Six","Six-Speed Manual Transmission","Arctic Silver Metallic","Gray Full Leather Interior","Factory Aerokit","18"" Sport Design Wheels","Red Seat Belts","Suede Headliner","Manufacturer's Literature","Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","1974 Alfa Romeo GTV 2000","https://bringatrailer.com/listing/1974-alfa-romeo-gtv-104/","Sold for $41,000 on 6/29/20","Location: Redondo Beach, California 90277","Chassis: AR3025838","45k Miles Shown, TMU","Rebuilt 2.0L Inline-Four","5-Speed Manual Gearbox","4.11 Limited-Slip Differential","Refurbished 2013-2015","Refinished Dutch Blue Exterior","Reupholstered Beige Interior","Powdercoated 14"" Campagnolo Wheels","Weber DCOE Induction","10:1 Pistons","Koni Shocks/Centerline Springs","Cross-Drilled Brake Rotors","Factory A/C","Wes Ingram Radiator","Refurbishment Receipts and Photos","Private Party or Dealer: Private Party","","","","","","","1"
"","22k-Mile 2005 BMW 330Ci Coupe 6-Speed","https://bringatrailer.com/listing/2005-bmw-330ci-18/","Sold for $15,500 on 6/29/20","Location: West Chester, Pennsylvania 19382","Chassis: WBABD53415PD98679","22k Miles Shown","3.0L M54 Inline-Six","6-Speed Manual Transmission","Silver Gray Metallic over Black Leather","Heated Seats","Harman Kardon Sound System","New Tires and Front Brakes","Longterm Original Ownership","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","1976 BMW 2002 5-Speed","https://bringatrailer.com/listing/1976-bmw-2002-106/","Sold for $11,000 on 6/29/20","Location: Colorado Springs, Colorado 80924","Chassis: 2743014","48k Miles Shown, TMU","2.0-Liter Inline-Four","5-Speed Manual Transmission","Single Weber Carburetor","PerTronix & MSD Ignition Components","Momo Steering Wheel","Aftermarket A/C & Stereo","Service Records","Manufacturer's Literature","Shop Manual","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1972 MG MGB Roadster","https://bringatrailer.com/listing/1972-mg-mgb-30/","Sold for $10,250 on 6/29/20","Location: Buda, Texas 78610","Chassis: GHN5UC2699746G","22k Miles Shown, TMU","1.8-Liter Inline-Four","4-Speed Manual Transmission","Aqua over Black Vinyl","painted wire wheels","Replacement Black Soft Top","Chrome Bumpers & Luggage Rack","Weber Carburetor","GM Alternator Conversion","Aluminum Radiator w/Electric Fan","Weber Carburetor","Stainless Steel Exhaust System","RetroSound Stereo","New Bushings, Ignition Components, Hoses, Mounts","Private Party or Dealer: Dealer","","","","","","","","1"
"","1959 Alfa Romeo 2000 Spider","https://bringatrailer.com/listing/1959-alfa-romeo-2000-spider-2/","Bid to $67,000 on 6/29/20","Location: Saint Ann, Missouri 63074","Chassis: AR1020400137","77k Miles Shown, TMU","Replacement 1,975cc Inline-Four","5-Speed Manual Gearbox","Refurbishment Completed in 2016","White Over Red","Black Soft Top","Period Transistor Radio","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
"","9k-Mile 2001 Bentley Arnage Le Mans","https://bringatrailer.com/listing/2001-bentley-arnage-le-mans/","Bid to $31,500 on 6/29/20","Location: Huntsville, Ontario, Canada","Chassis: SCBLC31E61CX06540","14k Kilometers (~9k Miles) Shown","Turbocharged 6.75-Liter V8","Four-Speed Automatic Transmission","Midnight Emerald","Autumn and Spruce Leather Interior","One of 153 Le Mans Series Cars","18"" Chrome Wheels","Quad Exhaust Outlets","Alpine Stereo","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","20k-Mile 1985 Mercedes-Benz 500SEL","https://bringatrailer.com/listing/1985-mercedes-benz-500sel-21/","Sold for $16,500 on 6/29/20","Location: Neptune, New Jersey 07753","Chassis: WDBCA37D9FA180097","20k Miles Shown","5.0-Liter M117 V8","Four-Speed Automatic","Astral Silver Metallic","Black Leather","Heated Power-Adjustable Front & Rear Seats","Window Sticker","Original Purchase Documents","Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","1974 Alfa Romeo GTV 2000","https://bringatrailer.com/listing/1974-alfa-romeo-gtv-104/","Sold for $41,000 on 6/29/20","","","","","","","","","","","","","","","","","","","","","","","","","1"
"","22k-Mile 2005 BMW 330Ci Coupe 6-Speed","https://bringatrailer.com/listing/2005-bmw-330ci-18/","Sold for $15,500 on 6/29/20","","","","","","","","","","","","","","","","","","","","","","","","","1"
"","1976 BMW 2002 5-Speed","https://bringatrailer.com/listing/1976-bmw-2002-106/","Sold for $11,000 on 6/29/20","","","","","","","","","","","","","","","","","","","","","","","","","1"
"","1972 MG MGB Roadster","https://bringatrailer.com/listing/1972-mg-mgb-30/","Sold for $10,250 on 6/29/20","","","","","","","","","","","","","","","","","","","","","","","","","1"
"","1959 Alfa Romeo 2000 Spider","https://bringatrailer.com/listing/1959-alfa-romeo-2000-spider-2/","Bid to $67,000 on 6/29/20","","","","","","","","","","","","","","","","","","","","","","","","","1"
"","9k-Mile 2001 Bentley Arnage Le Mans","https://bringatrailer.com/listing/2001-bentley-arnage-le-mans/","Bid to $31,500 on 6/29/20","","","","","","","","","","","","","","","","","","","","","","","","","1"
"","20k-Mile 1985 Mercedes-Benz 500SEL","https://bringatrailer.com/listing/1985-mercedes-benz-500sel-21/","Sold for $16,500 on 6/29/20","","","","","","","","","","","","","","","","","","","","","","","","","1"
"","No Reserve: 2006 Volvo V70R","https://bringatrailer.com/listing/2006-volvo-v70r-17/","Sold for $13,000 on 6/29/20","Location: Los Angeles, California 90025","Chassis: YV1SJ527062542929","84k Miles","Turbocharged 2.5L Inline-Five","Six-Speed Automatic Gearbox","Titanium Gray Pearl","Navy Nordkap Leather","Adaptive Suspension","Heated and Power-Adjustable Front Seats","Dual-Zone Automatic Climate Control","17"" Wheels","Replacement Tires","Replacement Front Struts","Recent Transmission Service","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","1"
"","No Reserve: 1989 Toyota MR2 5-Speed","https://bringatrailer.com/listing/1989-toyota-mr2-21/","Sold for $6,500 on 6/29/20","Location: El Cerrito, California 94530","Chassis: JT2AW15C3K0145850","49k Miles Shown","1.6-Liter Inline-Four","Five-Speed Manual Gearbox","Medium Red Pearl over Charcoal Cloth","Tinted Glass Sunroof","Air Conditioning","Power Windows","14"" Freek Esta Wheels","Nardi Steering Wheel","Pioneer CD Stereo","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","No Reserve: Jaguar XKE Tool Kit","https://bringatrailer.com/listing/jaguar-xke-toolkit/","Sold for $2,400 on 6/29/20","Location: Malvern, Pennsylvania 19355","Tool Kit for Jaguar XKE","Black Vinyl Roll","Tecalemit Grease Gun","Dunlop Brake Bleed Kit","Dunlop Tire Pressure Gauge","Lucas Feeler Gauge","Valve Timing Gauge","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","","1"
"","Single-Family-Owned 1971 Chevrolet Chevelle SS 454","https://bringatrailer.com/listing/1971-chevrolet-chevelle-454-8/","Bid to $42,100 on 6/29/20","Location: Canby, Oregon","Chassis: 136371L109174","Single-Family Owned","141k Miles Shown","454ci V8","Three-Speed Automatic Transmission","Black w/Burgundy Strips over Black Interior","Z15 SS Equipment Package","F41 Special Performance Suspension","Power-Assisted Steering & Front Disc Brakes","2019 Brake Master & Booster Repaired","Build Sheet","Refurbishment Invoices","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1991 Acura NSX 5-Speed","https://bringatrailer.com/listing/1991-acura-nsx-97/","Sold for $42,000 on 6/29/20","Location: Naperville, Illinois 60563","Chassis: JH4NA1153MT000726","114k Miles Shown","3.0-Liter VTEC V6","Five-Speed Manual Gearbox","Sebring Silver Metallic over Black","Power-Adjustable Seats","Automatic Climate Control","Cruise Control","Forged Wheels","Timing Belt Service in 2016","Recent Service","Accessories","Spare Set of Aftermarket Wheels","Service Records","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","1"
"","17k-Mile 1993 Ford Mustang LX 5.0 Convertible 5-Speed","https://bringatrailer.com/listing/1993-ford-mustang-lx-5-0-22/","Bid to $14,750 on 6/29/20","Location: Rehoboth Beach, Delaware 19971","Chassis: 1FACP44EXPF115613","17k Miles Shown","5.0-Liter V8","Five-Speed Manual Transmission","Calypso Green over White","Power-Operated Convertible Soft Top","16"" Wheels","Air Conditioning","Pioneer Stereo","Power Windows and Locks","Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","18k-Mile 2001 Honda S2000","https://bringatrailer.com/listing/2001-honda-s2000-61/","Sold for $22,250 on 6/29/20","Location: Englewood, Colorado 80112","Chassis: JHMAP11481T002150","18K Miles","Silverstone Metallic over Red & Black Leather","2.0-Liter VTEC Inline-Four","Six-Speed Manual Transmission","Limited-Slip Differential","Aftermarket Stereo, Stock Included","Top Boot","Front License Plate Holder","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1977 Lincoln Continental Mark V","https://bringatrailer.com/listing/1977-lincoln-continental-mark-v/","Bid to $17,000 on 6/29/20","Location: Charlotte, North Carolina 28269","Chassis: 7Y89A848824","15k Miles Shown, TMU","460ci V8","3-Speed Automatic Transmission","White over Dark Jade Velour","White Landau Roof","Air Conditioning","Cruise Control","AM/FM Radio & 8-Track Player","15"" Turbine Wheels","Disc Brakes","Recent Brake Service","Partial Records","Deluxe Marti Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","1991 Porsche 944 S2 Cabriolet 5-Speed","https://bringatrailer.com/listing/1991-porsche-944-s2-cabriolet-12/","Bid to $16,259 on 6/29/20","Location: Miami, Florida 33186","Chassis: WP0CB2942MN440478","55k Miles Shown","3.0 Liter M44 Inline-Four","5-Speed Manual Transaxle","Alpine White over Black","Design 90 Wheels","Longterm Previous Ownership","Timing Belt Replaced in 2019","Factory Literature","Recent Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","2002 BMW M3 Coupe 6-Speed","https://bringatrailer.com/listing/2002-bmw-m3-140/","Sold for $40,250 on 6/29/20","Location: Silver Spring, Maryland 20910","Chassis: WBSBL93462JR13015","85k Miles Shown","3.2L S54 Inline-Six","6-Speed Manual Transmission","Laguna Seca Blue","Black Nappa Leather","Xenon Headlights","Aftermarket Front Splitter","Powerflex Bushings","Harman Kardon Audio","Beisan VANOS Rebuild","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
